File Name,Format,Duration,Sample Rate,Codec,Channels
"audio_62.wav","wav","3.541313","N/A","N/A","N/A"
"audio_63.wav","wav","3.12","N/A","N/A","N/A"
"audio_64.wav","wav","2.112","N/A","N/A","N/A"
"audio_65.wav","wav","5.4","N/A","N/A","N/A"
"audio_66.wav","wav","1.813313","N/A","N/A","N/A"
"audio_67.wav","wav","4.02","N/A","N/A","N/A"
"audio_68.wav","wav","3.413313","N/A","N/A","N/A"
"audio_69.wav","wav","6.06","N/A","N/A","N/A"
"audio_7.wav","wav","2.624","N/A","N/A","N/A"
"audio_70.wav","wav","2.602688","N/A","N/A","N/A"
"audio_71.wav","wav","2.56","N/A","N/A","N/A"
"audio_72.wav","wav","5.16","N/A","N/A","N/A"
"audio_73.wav","wav","2.474688","N/A","N/A","N/A"
"audio_74.wav","wav","3.06","N/A","N/A","N/A"
"audio_75.wav","wav","6.06","N/A","N/A","N/A"
"audio_76.wav","wav","2.76","N/A","N/A","N/A"
"audio_77.wav","wav","3.72","N/A","N/A","N/A"
"audio_78.wav","wav","3.477313","N/A","N/A","N/A"
"audio_79.wav","wav","2.282688","N/A","N/A","N/A"
"audio_8.wav","wav","5.4","N/A","N/A","N/A"
"audio_80.wav","wav","2.7","N/A","N/A","N/A"
"audio_81.wav","wav","3.221313","N/A","N/A","N/A"
"audio_82.wav","wav","3.477313","N/A","N/A","N/A"
"audio_83.wav","wav","2.645313","N/A","N/A","N/A"
"audio_84.wav","wav","2.04","N/A","N/A","N/A"
"audio_85.wav","wav","2.16","N/A","N/A","N/A"
"audio_86.wav","wav","2.88","N/A","N/A","N/A"
"audio_87.wav","wav","2.76","N/A","N/A","N/A"
"audio_88.wav","wav","5.82","N/A","N/A","N/A"
"audio_89.wav","wav","1.770688","N/A","N/A","N/A"
"audio_9.wav","wav","5.46","N/A","N/A","N/A"
"audio_90.wav","wav","2.04","N/A","N/A","N/A"
"audio_91.wav","wav","4.2","N/A","N/A","N/A"
"audio_92.wav","wav","2.688","N/A","N/A","N/A"
"audio_93.wav","wav","2.453313","N/A","N/A","N/A"
"audio_94.wav","wav","3.24","N/A","N/A","N/A"
"audio_95.wav","wav","5.418688","N/A","N/A","N/A"
"audio_96.wav","wav","1.8","N/A","N/A","N/A"
"audio_97.wav","wav","7.86","N/A","N/A","N/A"
"audio_98.wav","wav","3.84","N/A","N/A","N/A"
"audio_99.wav","wav","5.88","N/A","N/A","N/A"
